                               100.0
BUS DATA FOLLOWS
   1               0000  3 1.0600   0.00     0.00      0.00  232.28  -16.89     0.0 1.0600     0.0     0.0     0.0  0.0000 0000 0000
   2               0000  2 1.0450  -4.98    21.70     12.70   40.00   42.39     0.0 1.0450   50.00  -40.00     0.0  0.0000 0000 0000
   3               0000  2 1.0100 -12.72    94.20     19.00    0.00   23.39     0.0 1.0100   40.00    0.00     0.0  0.0000 0000 0000
   4               0000  0 1.0186 -10.32    47.80     -3.90    0.00    0.00     0.0 1.0186     0.0     0.0     0.0  0.0000 0000 0000
   5               0000  0 1.0203  -8.78     7.60      1.60    0.00    0.00     0.0 1.0203     0.0     0.0     0.0  0.0000 0000 0000
   6               0000  2 1.0700 -14.22    11.20      7.50    0.00   12.22     0.0 1.0700   24.00   -6.00     0.0  0.0000 0000 0000
   7               0000  0 1.0620 -13.37     0.00      0.00    0.00    0.00     0.0 1.0620     0.0     0.0     0.0  0.0000 0000 0000
   8               0000  2 1.0900 -13.37     0.00      0.00    0.00   17.36     0.0 1.0900   24.00   -6.00     0.0  0.0000 0000 0000
   9               0000  0 1.0563 -14.95    29.50     16.60    0.00    0.00     0.0 1.0563     0.0     0.0     0.0  0.1900 0000 0000
  10               0000  0 1.0513 -15.10     9.00      5.80    0.00    0.00     0.0 1.0513     0.0     0.0     0.0  0.0000 0000 0000
  11               0000  0 1.0571 -14.79     3.50      1.80    0.00    0.00     0.0 1.0571     0.0     0.0     0.0  0.0000 0000 0000
  12               0000  0 1.0552 -15.08     6.10      1.60    0.00    0.00     0.0 1.0552     0.0     0.0     0.0  0.0000 0000 0000
  13               0000  0 1.0505 -15.16    13.50      5.80    0.00    0.00     0.0 1.0505     0.0     0.0     0.0  0.0000 0000 0000
  14               0000  0 1.0358 -16.04    14.90      5.00    0.00    0.00     0.0 1.0358     0.0     0.0     0.0  0.0000 0000 0000
-999
BRANCH DATA FOLLOWS
   1    2  0000 0 0  0.019380   0.059170  0.05280   300 00000 00000 0000 0  1.0000    0.00   0.0    0.0    0.0      0.0      0.0 0000
   1    5  0000 0 0  0.054030   0.223040  0.04920   100 00000 00000 0000 0  1.0000    0.00   0.0    0.0    0.0      0.0      0.0 0000
   2    5  0000 0 0  0.056950   0.173880  0.03400   100 00000 00000 0000 0  1.0000    0.00   0.0    0.0    0.0      0.0      0.0 0000
   2    4  0000 0 0  0.058110   0.176320  0.03740   100 00000 00000 0000 0  1.0000    0.00   0.0    0.0    0.0      0.0      0.0 0000
   2    3  0000 0 0  0.046990   0.197970  0.04380   100 00000 00000 0000 0  1.0000    0.00   0.0    0.0    0.0      0.0      0.0 0000
   3    4  0000 0 0  0.067010   0.171030  0.03460   100 00000 00000 0000 0  1.0000    0.00   0.0    0.0    0.0      0.0      0.0 0000
   5    6  0000 0 1  0.000000   0.252020  0.00000   100 00000 00000 0000 0  0.9320    0.00   0.0    0.0    0.0      0.0      0.0 0000
   4    5  0000 0 0  0.013350   0.042110  0.01280    80 00000 00000 0000 0  1.0000    0.00   0.0    0.0    0.0      0.0      0.0 0000
   4    9  0000 0 1  0.000000   0.556180  0.00000   100 00000 00000 0000 0  0.9690    0.00   0.0    0.0    0.0      0.0      0.0 0000
   4    7  0000 0 1  0.000000   0.209120  0.00000   100 00000 00000 0000 0  0.9780    0.00   0.0    0.0    0.0      0.0      0.0 0000
   7    8  0000 0 0  0.000000   0.176150  0.00000   100 00000 00000 0000 0  1.0000    0.00   0.0    0.0    0.0      0.0      0.0 0000
   7    9  0000 0 0  0.000000   0.110010  0.00000   100 00000 00000 0000 0  1.0000    0.00   0.0    0.0    0.0      0.0      0.0 0000
   9   10  0000 0 0  0.031810   0.084500  0.00000   100 00000 00000 0000 0  1.0000    0.00   0.0    0.0    0.0      0.0      0.0 0000
   9   14  0000 0 0  0.127110   0.270380  0.00000   100 00000 00000 0000 0  1.0000    0.00   0.0    0.0    0.0      0.0      0.0 0000
  10   11  0000 0 0  0.082050   0.192070  0.00000   100 00000 00000 0000 0  1.0000    0.00   0.0    0.0    0.0      0.0      0.0 0000
   6   11  0000 0 0  0.094980   0.198900  0.00000   100 00000 00000 0000 0  1.0000    0.00   0.0    0.0    0.0      0.0      0.0 0000
   6   12  0000 0 0  0.122910   0.255810  0.00000   100 00000 00000 0000 0  1.0000    0.00   0.0    0.0    0.0      0.0      0.0 0000
   6   13  0000 0 0  0.066150   0.130270  0.00000   100 00000 00000 0000 0  1.0000    0.00   0.0    0.0    0.0      0.0      0.0 0000
  12   13  0000 0 0  0.220920   0.199880  0.00000   100 00000 00000 0000 0  1.0000    0.00   0.0    0.0    0.0      0.0      0.0 0000
  13   14  0000 0 0  0.170930   0.348020  0.00000   100 00000 00000 0000 0  1.0000    0.00   0.0    0.0    0.0      0.0      0.0 0000
-999
LOSS ZONES FOLLOWS
-99
INTERCHANGE DATA FOLLOWS
-9
TIE LINES FOLLOWS
-999
END OF DATA

